pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,con_ppc_,con_ppc_sex,con_ppc_race,lab_ppc_,lab_ppc_sex,lab_ppc_race,ld_ppc_,ld_ppc_sex,ld_ppc_race,ukip_ppc_,ukip_ppc_sex,ukip_ppc_race,snp_ppc_,snp_ppc_sex,snp_ppc_race,pc_ppc_,pc_ppc_sex,pc_ppc_race,green_ppc_,green_ppc_sex,green_ppc_race,con_long_spend_percent,con_short_spend_percent,lab_long_spend_percent,lab_short_spend_percent,ldlong_spend_percent,ldshort_spend_percent,snplong_spend_percent,snpshort_spend_percent,pclong_spend_percent,pcshort_spend_percent,ukiplong_spend_percent,ukipshort_spend_percent,green_long_spend_percent,green_short_spend_percent
309,E14000845,North East Hertfordshire,30.13,1,1,England,East of England,County,Conservative,55.36557844,18.87467248,7.558284086,NA,NA,12.86744315,5.334021841,NA,36.49090596,70.65810811,28949,9869,3952,NA,NA,6728,2789,NA,52287,196,74000,NA,1.835578442,2.434672481,-15.84171591,NA,NA,8.74744315,3.594021841,Conservative,53.53,16.44,23.4,NA,NA,4.12,1.74,NA,30.1,69.8,26995,8291,11801,NA,NA,2075,875,NA,50425,72200,"Heald, Oliver",Man,White,"York, Chris",Man,White,"Jordan, Joe",Man,White,"Compton, William Matthew",Man,BME,NA,NA,NA,NA,NA,NA,"May, Mario",Man,White,8.29,91.61,3.46,16.18,0,5.44,NA,NA,NA,NA,0.08,6.9,0.51,7.12
310,E14000951,South West Hertfordshire,26.3,1,1,England,East of England,County,Conservative,56.9402972,16.3182985,10.25372379,NA,NA,11.53020064,4.510451045,0.44702883,40.62199871,71.88206055,32608,9345,5872,NA,NA,6603,2583,NA,57267,174,79668,NA,2.710297204,4.818298497,-17.67627621,NA,NA,8.970200639,4.510451045,Conservative,54.23,11.5,27.93,NA,NA,2.56,0,2.29,26.3,72.5,30773,6526,15853,NA,NA,1450,NA,1302,56750,78248,"Gauke, David Michael",Man,White,"Diggins, Simon Leo Carr",Man,White,"Quinton, Nigel Alan",Man,White,"Anderson, Mark",Man,White,NA,NA,NA,NA,NA,NA,"Pardy, Charlotte Susan",Woman,White,6.01,29.79,2.5,17.88,1.6,23.51,NA,NA,NA,NA,0,0,0,3.26
311,E14000745,Hertsmere,37.24,0,0,England,East of England,County,Conservative,59.28410293,22.42917889,5.543910084,NA,NA,12.74280809,NA,NA,36.85492404,67.90434747,29696,11235,2777,NA,NA,6383,NA,NA,50091,200,73767,NA,3.274102933,3.659178894,-11.82608992,NA,NA,9.122808089,NA,Conservative,56.01,18.77,17.37,NA,NA,3.62,1.28,2.96,37.2,64.7,26476,8871,8210,NA,NA,1712,604,1397,47270,73057,"Dowden, Oliver James",Man,White,"Butler, Richard Raymond",Man,White,"Bowler, Sophie",Woman,White,"Ward, Frank",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.61,59.42,1.68,34.26,0,0,NA,NA,NA,NA,0,4.23,0,0
312,E14000746,Hexham,13.31,1,1,England,North East,County,Conservative,52.67966317,24.92328988,6.831237744,NA,NA,9.925020187,5.640789018,NA,27.75637328,72.59496215,22834,10803,2961,NA,NA,4302,2445,NA,43345,82,59708,NA,9.459663168,5.943289883,-23.07876226,NA,NA,9.925020187,5.640789018,Conservative,43.22,18.98,29.91,NA,NA,0,0,2.77,13.3,70.8,18795,8253,13007,NA,NA,NA,NA,1205,43483,60360,"Opperman, Guy Thomas",Man,White,"Carr, Liam",Man,White,"Reid, Jeffrey",Man,White,"Nicholson, David",Man,White,NA,NA,NA,NA,NA,NA,"Williscroft-Ferris, Lee Christopher",Man,White,77.33,81.35,0,47.41,0,22.65,NA,NA,NA,NA,0,3.41,3.92,4.99
313,E14000747,Heywood and Middleton,-12.95,1,-1,England,North West,County,Labour,19.09431785,43.1126128,3.310808027,NA,NA,32.1953933,2.286868021,NA,10.9172195,60.68084362,9268,20926,1607,NA,NA,15627,1110,NA,48538,135,79989,NA,-8.065682146,3.002612798,-19.39919197,NA,NA,29.5653933,2.286868021,Labour,27.16,40.11,22.71,NA,NA,2.63,0,7.02,12.9,57.5,12528,18499,10474,NA,NA,1215,NA,3239,46125,80171,"Gartside, Iain Brian",Man,White,"McInnes, Liz",Woman,White,"Smith, Anthony John",Man,White,"Bickley, John Joseph Peter",Man,White,NA,NA,NA,NA,NA,NA,"Jackson, Abi",Woman,White,2.69,15.16,18.25,80.94,0.71,6.69,NA,NA,NA,NA,58.93,84.89,0,0
314,E14000748,High Peak,9.29,1,1,England,East Midlands,County,Conservative,44.96249188,35.32654709,4.703774439,NA,NA,11.44145386,3.565732737,NA,9.635944791,69.2552089,22836,17942,2389,NA,NA,5811,1811,NA,50789,153,73336,NA,4.062491878,3.716547087,-17.13622556,NA,NA,8.081453858,1.735732737,Conservative,40.9,31.61,21.84,NA,NA,3.36,1.83,NA,9.3,69.9,20587,15910,10993,NA,NA,1690,922,NA,50337,71458,"Bingham, Andrew Russell",Man,White,"Bisknell, Caitlin Janette",Woman,White,"Worrall, Stephen David",Man,White,"Guiver, Ian",Man,White,NA,NA,NA,NA,NA,NA,"Farrell, Charlotte Nancy",Woman,White,8.47,73.88,17.65,65.07,2.28,10.65,NA,NA,NA,NA,3.15,0.77,0,2.98
315,E14000749,Hitchin and Harpenden,27.92,1,1,England,East of England,County,Conservative,56.86320542,20.64650113,8.09751693,NA,NA,8.879458239,5.513318284,NA,36.21670429,68.93182129,31488,11433,4484,NA,NA,4917,3053,NA,55375,173,80333,NA,2.263205418,7.096501129,-18.58248307,NA,NA,5.839458239,4.033318284,Conservative,54.6,13.55,26.68,NA,NA,3.04,1.48,NA,27.9,74.1,29869,7413,14598,NA,NA,1663,807,NA,54707,73851,"Lilley, Peter Bruce",Man,White,"Burgin, Rachel Danae",Woman,White,"Pearce, Pauline Ursulla",Woman,BME,"Stocker, John",Man,White,NA,NA,NA,NA,NA,NA,"Wise, Richard Lionel",Man,White,15.4,36.57,3.84,15.37,0,6.32,NA,NA,NA,NA,11.93,87.83,1.76,11.41
316,E14000750,Holborn and St Pancras,-25.74,0,0,England,London,Borough,Labour,21.87665022,52.91986088,6.473405321,NA,NA,4.989347561,12.77018045,0.970555566,31.04321066,63.29468443,12014,29062,3555,NA,NA,2740,7013,NA,54917,219,86764,NA,1.506650218,6.809860881,-21.44659468,NA,NA,3.919347561,10.06018045,Labour,20.37,46.11,27.92,NA,NA,1.07,2.71,1.43,18.2,62.9,11134,25198,15256,NA,NA,587,1480,779,54649,86863,"Blair, Will",Man,White,"Starmer, Keir",Man,White,"Fraser, Jill Eileen",Woman,White,"Spencer, Maxine",Woman,BME,NA,NA,NA,NA,NA,NA,"Bennett, Natalie",Woman,White,22.89,34.19,27.09,77.03,3.32,23.36,NA,NA,NA,NA,0,10.34,79.16,87.39
317,E14000751,Hornchurch and Upminster,30.66,1,1,England,London,Borough,Conservative,48.97349555,20.10102107,2.717430661,NA,NA,25.30414947,2.554493446,0.349409805,23.66934608,69.62725794,27051,11103,1501,NA,NA,13977,1411,193,55236,89,79331,NA,-2.476504454,-0.688978927,-11.19256934,NA,NA,19.97414947,1.534493446,Conservative,51.45,20.79,13.91,NA,NA,5.33,1.02,6.41,30.7,68,27469,11098,7426,NA,NA,2848,542,3421,53390,78547,"Watkinson, Angela Eileen",Woman,White,"McGeary, Paul Stephen Lawrence",Man,White,"Mitchell, Jonathan Stuart",Man,White,"Webb, Lawrence James",Man,White,NA,NA,NA,NA,NA,NA,"Collins, Melanie Jane",Woman,White,26.75,73.57,0,17.75,0,0,NA,NA,NA,NA,5.95,0,2.04,0.84
318,E14000752,Hornsey and Wood Green,-29.83,1,-1,England,London,Borough,Labour,9.253266419,50.907675,31.77122091,NA,NA,2.199532751,5.44431946,0.423985463,19.1364541,72.91758679,5347,29417,18359,NA,NA,1271,3146,NA,57785,177,79247,Labour gain from Liberal Democrat,-7.416733581,16.897675,-14.72877909,NA,NA,2.199532751,3.15431946,Liberal Democrat,16.67,34.01,46.5,NA,NA,0,2.29,NA,12.5,68.9,9174,18720,25595,NA,NA,NA,1261,NA,55042,79923,"Rahuja, Sunhail",Man,BME,"West, Catherine Elizabeth",Woman,White,"Featherstone, Lynne",Woman,White,"Morrison, Clive Winston",Man,BME,NA,NA,NA,NA,NA,NA,"Peters, Gordon",Man,White,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0
319,E14000753,Horsham,20.52,0,0,England,South East,County,Conservative,57.31576636,11.41677646,11.67676768,NA,NA,13.99912165,3.861220905,1.730346948,43.31664471,71.97951571,32627,6499,6647,NA,NA,7969,2198,NA,56925,234,79085,NA,4.585766359,3.91677646,-20.53323232,NA,NA,8.919121651,2.841220905,Conservative,52.73,7.5,32.21,NA,NA,5.08,1.02,NA,20.5,72.7,29447,4189,17987,NA,NA,2839,570,NA,55841,77564,"Quin, Jeremy Marc",Man,White,"Davis, Martyn Kevin",Man,White,"Millson, Morwen Elizabeth",Woman,White,"Arthur, Roger John",Man,BME,NA,NA,NA,NA,NA,NA,"Green, Darrin",Man,White,7.01,63.02,0,6.88,0,11.73,NA,NA,NA,NA,5.66,5.83,0,2.3
320,E14000754,Houghton and Sunderland South,-28.9,1,-1,England,North East,Borough,Labour,18.45981969,55.12743901,2.055132635,NA,NA,21.51263998,2.844968692,NA,33.61479903,56.33306013,7105,21218,791,NA,NA,8280,1095,NA,38489,175,68324,NA,-2.970180311,4.797439009,-11.86486736,NA,NA,18.82263998,2.844968692,Labour,21.43,50.33,13.92,NA,NA,2.69,0,5.16,28.9,55.3,8147,19137,5292,NA,NA,1022,NA,1961,38021,68729,"Hay, Stewart Thomas",Man,White,"Phillipson, Bridget Maeve",Woman,White,"Murray, James",Man,White,"Elvin, Richard Peter",Man,White,NA,NA,NA,NA,NA,NA,"Robinson, Alan Michael David",Man,White,0,9.86,13.76,30.55,0,0,NA,NA,NA,NA,9.73,18.4,0,0
321,E14000755,Hove,3.75,0,0,England,South East,Borough,Labour,39.92415827,42.29133949,3.56417819,NA,NA,6.253112192,6.83533152,1.131880339,2.367181216,71.0346235,20846,22082,1861,NA,NA,3265,3569,NA,52214,234,73505,Labour gain from Conservative,3.204158272,9.321339487,-18.99582181,NA,NA,3.833112192,1.68533152,Conservative,36.72,32.97,22.56,NA,NA,2.42,5.15,NA,3.8,69.5,18294,16426,11240,NA,NA,1206,2568,NA,49819,71720,"Cox, Graham",Man,White,"Kyle, Peter",Man,White,"Lambell, Peter John",Man,White,"Smith, Keven",Man,BME,NA,NA,NA,NA,NA,NA,"Hawtree, Christopher",Man,White,74.67,83.36,56.13,90.7,0,13.18,NA,NA,NA,NA,8.21,31.18,0.86,54.21
322,E14000756,Huddersfield,-11.03,1,-1,England,Yorkshire and The Humber,Borough,Labour,26.78244973,44.9281091,5.842679974,NA,NA,14.6944019,6.912396858,0.839962449,18.14565937,62.0171904,10841,18186,2365,NA,NA,5948,2798,NA,40478,173,65269,NA,-0.987550274,6.128109096,-18.88732003,NA,NA,14.6944019,2.862396858,Labour,27.77,38.8,24.73,NA,NA,0,4.05,3.86,11,61.1,11253,15725,10023,NA,NA,NA,1641,1563,40524,66318,"Ali, Itrat",Woman,BME,"Sheerman, Barry John",Man,White,"Ali, Zulfiqar",Man,BME,"Butler, Rob",Man,White,NA,NA,NA,NA,NA,NA,"Cooper, Andrew Varah",Man,White,14.52,37.38,0.83,39.45,3.42,29.03,NA,NA,NA,NA,0.13,45.18,0,5.84
323,E14000771,Kingston upon Hull East,-31.36,1,-1,England,Yorkshire and The Humber,Borough,Labour,15.9145231,51.73002504,6.527430002,NA,NA,22.36797177,2.293421352,1.166628728,29.36205327,53.48348805,5593,18180,2294,NA,NA,7861,806,NA,35144,102,65710,NA,-0.665476895,3.79002504,-16.26257,NA,NA,14.33797177,2.293421352,Labour,16.58,47.94,22.79,NA,NA,8.03,0,NA,25.1,50.6,5667,16387,7790,NA,NA,2745,NA,NA,34184,67530,"MacKay, Christine Ann",Woman,White,"Turner, Karl",Man,White,"Nolan, David Patrick",Man,White,"Barrett, Richard",Man,White,NA,NA,NA,NA,NA,NA,"Wallpole, Sarah Catherine",Woman,White,0.02,13.22,9.24,66.48,3.26,15.99,NA,NA,NA,NA,3.24,15.74,0,0
324,E14000772,Kingston upon Hull North,-26.07,1,-1,England,Yorkshire and The Humber,Borough,Labour,15.01584786,52.81016527,8.98517093,NA,NA,16.3063165,5.846728549,1.035770885,36.50384877,55.08511567,5306,18661,3175,NA,NA,5762,2066,NA,35336,136,64148,NA,1.905847861,13.63016527,-28.27482907,NA,NA,12.2263165,4.406728549,Labour,13.11,39.18,37.26,NA,NA,4.08,1.44,4.33,1.9,52,4365,13044,12403,NA,NA,1358,478,1443,33291,64082,"Davison, Dehenna Sheridan",Woman,White,"Johnson, Diana Ruth",Woman,White,"Ross, Mike",Man,White,"Singh, Sergi",Man,BME,NA,NA,NA,NA,NA,NA,"Deane, Martin John",Man,White,1.3,28.42,15.64,61.38,2.59,18.86,NA,NA,NA,NA,0,15.46,0.64,3.41
325,E14000773,Kingston upon Hull West and Hessle,-22.27,1,-1,England,Yorkshire and The Humber,Borough,Labour,17.48577178,49.19661667,9.964468761,NA,NA,19.85032859,2.965129076,0.537685124,29.34628809,53.81218274,5561,15646,3169,NA,NA,6313,943,NA,31803,83,59100,NA,-2.704228217,6.736616671,-14.27553124,NA,NA,14.49032859,2.965129076,Labour,20.19,42.46,24.24,NA,NA,5.36,0,4.49,18.2,45.6,6361,13378,7636,NA,NA,1688,NA,1416,31505,57264,"Barker, Jo",Woman,White,"Johnson, Alan Arthur",Man,White,"Thomas, Claire",Woman,White,"Salvidge, Paul Nigel",Man,White,NA,NA,NA,NA,NA,NA,"Needham, Angela",Woman,White,0,28.71,3.79,58.56,5.18,32.69,NA,NA,NA,NA,3.5,16.35,0,0
326,E14000757,Huntingdon,19.93,1,1,England,East of England,County,Conservative,53.0191142,18.32567454,7.822697445,NA,NA,16.93815152,3.894362294,NA,34.69343966,67.71397092,29652,10249,4375,NA,NA,9473,2178,NA,55927,177,82593,NA,4.159114202,7.30567454,-21.10730256,NA,NA,10.93815152,2.694362294,Conservative,48.86,11.02,28.93,NA,NA,6,1.2,NA,19.9,64.9,26516,5982,15697,NA,NA,3258,652,NA,54266,83557,"Djanogly, Jonathan Simon",Man,White,"Johnson, Nik",Man,White,"Cantrill, Rod",Man,White,"Bullen, Paul",Man,White,NA,NA,NA,NA,NA,NA,"Maclennan, Tom",Man,White,0.14,46.04,0,20.91,0,6.24,NA,NA,NA,NA,6.55,46.67,1.38,1.97
327,E14000758,Hyndburn,-7.24,1,-1,England,North West,Borough,Labour,31.88845105,42.14797025,2.002937953,NA,NA,21.34446336,2.616177396,NA,10.2595192,62.75442267,13676,18076,859,NA,NA,9154,1122,NA,42887,179,68341,NA,-1.951548954,1.067970247,-9.787062047,NA,NA,17.87446336,1.526177396,Labour,33.84,41.08,11.79,NA,NA,3.47,1.09,5.01,7.2,63.5,14441,17531,5033,NA,NA,1481,463,2137,42672,67221,"Horkin, Kevin Thomas",Man,White,"Jones, Graham Peter",Man,White,"Firth, Alison Pamela",Woman,White,"Brown, Janet",Woman,White,NA,NA,NA,NA,NA,NA,"Gormley, Kerry",Woman,White,5.15,66.39,16.3,86.7,0,0,NA,NA,NA,NA,1.43,7.34,1.43,0
328,E14000759,Ilford North,11.49,1,1,England,London,Borough,Labour,42.65920052,43.8629118,2.30932723,NA,NA,8.90010627,2.090656421,0.17779776,1.203711273,64.98791404,20874,21463,1130,NA,NA,4355,1023,NA,48932,105,75294,Labour gain from Conservative,-3.080799477,9.612911796,-10.38067277,NA,NA,7.05010627,0.870656421,Conservative,45.74,34.25,12.69,NA,NA,1.85,1.22,3.29,11.5,65.3,21506,16102,5966,NA,NA,871,572,1545,47018,74807,"Scott, Lee",Man,White,"Streeting, Wes",Man,White,"Clare, Richard",Man,White,"Hyde, Philip",Man,White,NA,NA,NA,NA,NA,NA,"Reynolds, Davin Ian",Man,White,7.99,69.33,87.66,90.09,0,6.45,NA,NA,NA,NA,5.01,10.52,0,0.99
329,E14000760,Ilford South,-22.04,1,-1,England,London,Borough,Labour,25.91886269,64.01602712,1.953305594,NA,NA,5.210741254,2.901063338,NA,38.09716443,56.43406133,13455,33232,1014,NA,NA,2705,1506,NA,51912,164,91987,NA,-1.461137309,14.59602712,-14.99669441,NA,NA,3.000741254,0.321063338,Labour,27.38,49.42,16.95,NA,NA,2.21,2.58,NA,22.1,68,14014,25301,8679,NA,NA,1132,1319,NA,51191,87765,"Chapman, Christopher James",Man,White,"Gapes, Mike",Man,White,"Holder, Ashburn",Man,BME,"Khan, Amjad",Man,BME,NA,NA,NA,NA,NA,NA,"Warrington, Anne Rosemary",Woman,White,3.33,32.69,9.92,62.81,0,2.88,NA,NA,NA,NA,0,0,0,0.23
332,E14000761,Ipswich,4.43,1,1,England,East of England,Borough,Conservative,44.75705426,37.09081201,2.875097548,NA,NA,11.71191523,3.565120959,NA,7.666242248,65.36195117,21794,18061,1400,NA,NA,5703,1736,NA,48694,139,74499,NA,5.617054257,2.38081201,-15.35490245,NA,NA,8.801915226,1.915120959,Conservative,39.14,34.71,18.23,NA,NA,2.91,1.65,2.71,4.4,59.9,18371,16292,8556,NA,NA,1365,775,1270,46941,75770,"Gummer, Ben",Man,White,"Ellesmere, David Thomas",Man,White,"Akinwale, Chika",Woman,BME,"Vigneau, Maria",Woman,White,NA,NA,NA,NA,NA,NA,"Broom, Barry",Man,White,0,98.79,39.17,78.92,0,9.03,NA,NA,NA,NA,4.01,19.65,0.88,2.36
333,E14000762,Isle of Wight,14.99,1,1,England,South East,County,Conservative,40.66998578,12.77951636,7.446657183,NA,NA,21.17780939,13.3769559,4.549075391,19.49217639,64.61159516,28591,8984,5235,NA,NA,14888,9404,NA,70300,107,108804,NA,-6.030014225,1.149516358,-24.26334282,NA,NA,17.70780939,12.0469559,Conservative,46.7,11.63,31.71,NA,NA,3.47,1.33,2.07,15,63.9,32810,8169,22283,NA,NA,2435,931,1457,70264,109902,"Turner, Andrew John",Man,White,"Blackmore, Stewart",Man,White,"Goodall, David Ian",Man,White,"McKie, Iain",Man,White,NA,NA,NA,NA,NA,NA,"Lowthion , Vix",Woman,White,1.06,66.03,1.76,33.96,2.24,29.91,NA,NA,NA,NA,18.09,35.81,4.24,6.59
334,E14000763,Islington North,-40.26,1,-1,England,London,Borough,Labour,17.19340293,60.24089044,8.091968965,NA,NA,4.003331031,10.24292156,0.227485071,43.04748751,67.14398713,8465,29659,3984,NA,NA,1971,5043,NA,49234,198,73326,NA,2.963402933,5.750890442,-18.55803104,NA,NA,2.393331031,7.212921558,Labour,14.23,54.49,26.65,NA,NA,1.61,3.03,NA,27.8,65.4,6339,24276,11875,NA,NA,716,1348,NA,44554,68119,"Boroughart, Alex",Man,White,"Corbyn, Jeremy Bernard",Man,White,"Gregory, Julian Thomas",Man,White,"Clouch, Greg",Man,White,NA,NA,NA,NA,NA,NA,"Russell, Caroline",Woman,White,4.42,28.88,31.85,89.45,7.85,1.2,NA,NA,NA,NA,0.11,17.09,0.85,20.92
335,E14000764,Islington South and Finsbury,-22.86,1,-1,England,London,Borough,Labour,22.22498306,50.93065281,10.90806415,NA,NA,7.623672916,7.614637452,0.697989609,28.70566975,64.98157852,9839,22547,4829,NA,NA,3375,3371,NA,44270,151,68127,NA,2.824983059,8.670652812,-23.16193585,NA,NA,6.013672916,5.984637452,Labour,19.4,42.26,34.07,NA,NA,1.61,1.63,NA,8.2,64.4,8449,18407,14838,NA,NA,701,710,NA,43555,67649,"Lim, Mark Chern Yenn",Man,BME,"Thornberry, Emily",Woman,White,"Stacy, Terry",Man,White,"Muswell, Pete",Man,White,NA,NA,NA,NA,NA,NA,"Kiss, Charlie",Man,White,6.81,26.97,33.3,92.99,7.42,1.23,NA,NA,NA,NA,2.58,6.12,0.86,15.23
337,E14000765,Jarrow,-33.28,1,-1,England,North East,Borough,Labour,17.07291775,55.65812675,3.2102479,NA,NA,19.66341666,3.396950524,0.998340421,35.99471009,60.25436705,6584,21464,1238,NA,NA,7583,1310,NA,38564,107,64002,NA,-3.557082253,1.74812675,-15.2597521,NA,NA,19.66341666,3.396950524,Labour,20.63,53.91,18.47,NA,NA,0,0,6.98,33.3,60.3,8002,20910,7163,NA,NA,NA,NA,2709,38784,64350,"Mason, Nick",Man,White,"Hepburn, Stephen",Man,White,"Collins, Stan",Man,White,"Harrison, Steven Alexander",Man,White,NA,NA,NA,NA,NA,NA,"Herbert, David",Man,White,0.37,11.32,0,50.3,0,10.91,NA,NA,NA,NA,3.63,0,0.54,0.92
338,E14000766,Keighley,6.16,1,1,England,Yorkshire and The Humber,County,Conservative,44.30918307,38.09417177,2.689168007,NA,NA,11.526169,3.381308145,NA,6.215011298,71.33231685,21766,18713,1321,NA,NA,5662,1661,NA,49123,198,68865,NA,2.369183071,2.314171773,-12.11083199,NA,NA,8.446169004,3.381308145,Conservative,41.94,35.78,14.8,NA,NA,3.08,0,4.11,6.2,72.4,20003,17063,7059,NA,NA,1470,NA,1962,47692,65893,"Hopkins, Kris",Man,White,"Grogan, John Timothy",Man,White,"Epps, Gareth Daniel",Man,White,"Latham, Paul John",Man,White,NA,NA,NA,NA,NA,NA,"Brown, Ros",Woman,White,75.28,79.63,70.16,72.74,0,5.79,NA,NA,NA,NA,1.47,0.42,0.99,6.32
339,E14000767,Kenilworth and Southam,25.92,1,1,England,West Midlands,County,Conservative,58.35912361,15.31429977,10.06948003,NA,NA,11.20493534,4.008936074,1.043225185,43.04482384,76.28719296,28474,7472,4913,NA,NA,5467,1956,NA,48791,129,63957,NA,4.789123609,0.964299768,-17.58051997,NA,NA,8.694935336,2.838936074,Conservative,53.57,14.35,27.65,NA,NA,2.51,1.17,NA,25.9,72.5,25945,6949,13393,NA,NA,1214,568,NA,48431,64362,"Wright, Jeremy",Man,White,"Singh, Bally",Man,BME,"Dickson, Richard Guy",Man,White,"Cottam, Harry Francis",Man,White,NA,NA,NA,NA,NA,NA,"Ballantyne, Rob",Man,White,15.38,88.13,3.64,2.27,5.36,40.93,NA,NA,NA,NA,0,8.78,0,0
340,E14000768,Kensington,24.52,0,0,England,London,Borough,Conservative,52.25393362,31.11864017,5.633398415,NA,NA,4.470540944,5.067761571,1.455725279,21.13529344,56.9708668,18199,10838,1962,NA,NA,1557,1765,NA,34828,139,61133,NA,2.193933617,5.578640175,-13.91660158,NA,NA,2.320540944,2.927761571,Conservative,50.06,25.54,19.55,NA,NA,2.15,2.14,NA,24.5,53.3,17595,8979,6872,NA,NA,754,753,NA,35150,66257,"Borwick, Victoria Lorne Peta (Lady Borwick)",Woman,White,"Abouharb, Mohammed Rodwan",Man,BME,"McGhee, Robin Max",Man,White,"Bovill, Jack",Man,White,NA,NA,NA,NA,NA,NA,"Rose, Robina Henningsen",Woman,White,5.94,93.46,16.95,8.1,0,19.39,NA,NA,NA,NA,0,7.52,0.04,9.67
341,E14000769,Kettering,19.22,1,1,England,East Midlands,County,Conservative,51.81710365,25.15354314,3.155576263,NA,NA,16.09555678,3.458426871,0.319793299,26.66356051,67.30525265,24467,11877,1490,NA,NA,7600,1633,NA,47218,140,70155,NA,2.697103647,-4.74645686,-12.68442374,NA,NA,16.09555678,3.458426871,Conservative,49.12,29.9,15.84,NA,NA,0,0,2.89,19.2,68.8,23247,14153,7498,NA,NA,NA,NA,1366,47328,68824,"Hollobone, Philip Thomas",Man,White,"Keehn, Rhea Ann",Woman,White,"McGlynn, Chris",Man,NA,"Bullock, Jonathan Deryck",Man,White,NA,NA,NA,NA,NA,NA,"Reeves, Rob",Man,White,12.05,29.77,2.23,34.14,0.05,0,NA,NA,NA,NA,9.76,24.19,0,4.48
343,E14000770,Kingston and Surbiton,-13.24,1,-1,England,London,Borough,Conservative,39.23683189,14.47015341,34.4539517,NA,NA,7.292457766,3.918788922,0.627816313,4.782880192,72.93754154,23249,8574,20415,NA,NA,4321,2322,NA,59253,137,81238,Conservative gain from Liberal Democrat,2.69683189,5.13015341,-15.3260483,NA,NA,4.752457766,2.948788922,Liberal Democrat,36.54,9.34,49.78,NA,NA,2.54,0.97,NA,13.2,70.4,20868,5337,28428,NA,NA,1450,555,NA,57111,81115,"Berry, Michael James Ellwood",Man,White,"Godfrey, Lee John",Man,White,"Davey, Edward",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keogh, Clare Siobhan",Woman,White,75.37,90.58,5.74,40.04,58.31,97.98,NA,NA,NA,NA,0,2.57,0,1.24
344,E14000774,Kingswood,5.11,1,1,England,South West,Borough,Conservative,48.31584416,29.60207792,3.796363636,NA,NA,14.82181818,2.846753247,0.617142857,18.71376623,70.57175956,23252,14246,1827,NA,NA,7133,1370,164,48125,146,68193,NA,7.895844156,-5.707922078,-13.05363636,NA,NA,11.63181818,2.046753247,Conservative,40.42,35.31,16.85,NA,NA,3.19,0.8,2.74,5.1,72.2,19362,16917,8072,NA,NA,1528,383,1311,47906,66362,"Skidmore, Chris",Man,White,"McCarron, Jo",Woman,White,"Boyden, Adam Owen Matthew",Man,White,"Odgers, Duncan",Man,White,NA,NA,NA,NA,NA,NA,"Nanu, Cezara",Woman,White,46.49,95.08,86.62,98.65,0,0,NA,NA,NA,NA,4.92,19.39,0,0
346,E14000775,Knowsley,-61.9,1,-1,England,North West,Borough,Labour,6.637360038,78.11859328,2.937233875,NA,NA,9.803264469,2.503548336,NA,68.31532881,64.12499368,3367,39628,1490,NA,NA,4973,1270,NA,50728,192,79108,NA,-2.332639962,7.248593282,-10.41276613,NA,NA,7.243264469,2.503548336,Labour,8.97,70.87,13.35,NA,NA,2.56,0,4.24,57.5,56.1,4004,31650,5964,NA,NA,1145,NA,1895,44658,79266,"Bramall, Alice Elizabeth",Woman,White,"Howarth, George Edward",Man,White,"Cashman, Carl",Man,White,"Bours, Louise",Woman,White,NA,NA,NA,NA,NA,NA,"Gregorich, Vikki Ann",Woman,NA,0.04,11.63,0,49.72,0.66,9.66,NA,NA,NA,NA,0,0.11,0,0.02
349,E14001033,West Lancashire,-8.95,1,-1,England,North West,County,Labour,32.43819953,49.26725179,2.612931798,NA,NA,12.19502375,3.184636444,0.301956679,16.82905226,70.05895129,16114,24474,1298,NA,NA,6058,1582,NA,49676,117,70906,NA,-3.751800467,4.127251792,-10.9470682,NA,NA,8.535023754,2.184636444,Labour,36.19,45.14,13.56,NA,NA,3.66,1,NA,9,63.8,17540,21883,6573,NA,NA,1775,485,NA,48473,73835,"Greenall, Paul Vincent",Man,White,"Cooper, Rosie",Woman,White,"Lewis, Daniel George",Man,White,"Sen, Jack             CANDIDATE SUSPENDED A WEEK BEFORE THE ELECTION",Man,White,NA,NA,NA,NA,NA,NA,"Basson, Ben",Man,White,0,0,1.01,42.21,0,0,NA,NA,NA,NA,0,0,0.31,8.01
